1,ITA,200,Vittorio,Bissaro
2,DEN,017,Allan,Norregaard
3,ITA,209,Lorenzo,Bressani
4,AUT,205,Thomas,Zajac
5,ARG,226,Santiago,Lange
6,ITA,219,Federica,Salvà
7,GER,142,Paul,Kohlhoff
8,ITA,126,Francesco,Porro
9,DEN,082,Lin,Ea Cenholt Christiansen
10,SWE,153,Ida,Svensson
11,GER,061,Finn,Heeg
12,ITA,166,Francesco,Sabatini
13,ITA,089,David,Bondì
14,NOR,196,Nicholas,Fadler Martinsen
15,AUS,156,Paul,Darmanin
16,GER,092,Jakob,Lenz
17,USA,123,Stephanie,Hudson
18,ESP,016,Justin,Liu
19,ITA,032,Vincenzo,Sorrentino
20,DEN,080,Anne-Line,Lyngsø Thomsen
21,GER,045,Eckart,Kaphengst
22,HUN,218,Flora,Virag
23,GER,150,Thomas,Haupt
24,GER,010,Stefan,Rumpf
25,AUS,217,Evan,Walker
26,HKG,216,Tat Choi,Fung
27,HKG,241,Doris,Hung
28,SWE,054,Sandra,Sandqvist
29,SWE,012,Tim,Shuwalow
